CPF,Nome do Operador,Matrícula do Operador,Tipo de Atendimento,Canal de Atendimento,Tempo Médio de Atendimento (TMA) em minutos,Satisfação do Cliente (1-5),Protocolo,Data/Hora do Atendimento,Tempo de Espera em minutos,Produto/Serviço Relacionado,Resolução no Primeiro Contato?,Encaminhamento para Outro Setor,Tempo de Pós-Atendimento (minutos),Status do Atendimento
764.582.301-17,Thales Azevedo,SAC-6151,Dúvida,Chat,4.3,3,PROTO-2025-01-6527,04/02/2025 16:54,6.2,Internet,Sim,Comercial,3.1,Pendente
386.149.270-96,Nicolas das Neves,SAC-8990,Reclamação,WhatsApp,3.2,5,PROTO-2025-03-1497,23/03/2025 15:40,5.1,Internet,Sim,Técnico,2.3,Reaberto
251.389.047-79,Mateus Almeida,SAC-6360,Solicitação,Chat,12.0,3,PROTO-2025-01-4333,28/01/2025 07:26,8.7,Planos,Não,Nenhum,1.3,Finalizado
296.870.413-31,Pedro Mendonça,SAC-9366,Solicitação,Chat,10.7,4,PROTO-2025-03-7958,14/01/2025 16:40,1.2,Telefonia,Sim,Técnico,4.0,Pendente
371.298.564-91,Sr. Arthur Vargas,SAC-6854,Elogio,Telefone,9.6,2,PROTO-2025-03-9547,22/02/2025 01:06,2.0,Internet,Não,Financeiro,2.8,Reaberto
026.589.731-95,Liam Novaes,SAC-4332,Dúvida,Telefone,14.3,2,PROTO-2025-01-9159,17/04/2025 23:16,6.3,Internet,Sim,Financeiro,1.7,Reaberto
785.920.413-41,Maria Isis Fonseca,SAC-3242,Elogio,E-mail,8.1,5,PROTO-2025-03-1132,16/02/2025 13:38,4.4,Internet,Não,Financeiro,4.3,Finalizado
063.829.174-78,Rhavi Moraes,SAC-7058,Solicitação,Chat,9.3,5,PROTO-2025-01-4906,25/01/2025 04:19,5.4,Planos,Não,Comercial,3.7,Finalizado
492.603.751-34,Dr. Fernando Sales,SAC-3563,Dúvida,WhatsApp,12.1,4,PROTO-2025-01-6750,08/02/2025 11:09,8.0,Internet,Não,Técnico,3.1,Finalizado
287.904.536-38,Liz da Conceição,SAC-9707,Reclamação,WhatsApp,11.6,1,PROTO-2025-02-4086,18/04/2025 08:01,1.4,Telefonia,Sim,Nenhum,0.6,Finalizado
250.437.186-17,Maria Fernanda Novais,SAC-2890,Dúvida,Telefone,14.5,4,PROTO-2025-03-6965,21/03/2025 14:09,7.6,Telefonia,Sim,Comercial,1.0,Finalizado
479.518.062-85,Cecilia Pereira,SAC-8653,Reclamação,Telefone,9.9,5,PROTO-2025-04-1277,03/02/2025 19:11,5.1,Internet,Não,Comercial,2.5,Finalizado
139.587.640-10,Francisco da Costa,SAC-8165,Reclamação,E-mail,4.8,3,PROTO-2025-02-5683,19/01/2025 13:00,6.8,Internet,Sim,Comercial,4.5,Pendente
470.528.136-53,Rael Farias,SAC-2119,Solicitação,Chat,3.4,4,PROTO-2025-03-2078,28/01/2025 08:34,5.1,TV por Assinatura,Sim,Nenhum,0.8,Reaberto
871.624.905-49,Heloisa Ramos,SAC-6615,Reclamação,Chat,3.6,4,PROTO-2025-02-6458,30/03/2025 07:02,10.0,TV por Assinatura,Não,Comercial,4.2,Finalizado
186.295.407-02,Arthur Miguel Aragão,SAC-1169,Reclamação,Telefone,11.7,4,PROTO-2025-01-2284,19/01/2025 07:36,1.7,TV por Assinatura,Sim,Técnico,1.6,Pendente
852.607.914-01,Rael Farias,SAC-2725,Reclamação,WhatsApp,10.8,1,PROTO-2025-03-3361,17/02/2025 21:09,5.8,Internet,Não,Comercial,4.9,Pendente
524.970.168-01,Carlos Eduardo Pimenta,SAC-7832,Dúvida,Telefone,10.1,5,PROTO-2025-02-3977,25/01/2025 01:31,5.9,Telefonia,Sim,Comercial,3.9,Reaberto
614.897.520-30,Pietro Pacheco,SAC-6618,Elogio,E-mail,7.0,3,PROTO-2025-04-8752,12/01/2025 17:28,4.2,Telefonia,Sim,Técnico,2.4,Reaberto
456.378.190-84,Davi Barros,SAC-5646,Solicitação,Chat,3.3,5,PROTO-2025-01-9451,20/03/2025 17:40,2.0,Planos,Não,Financeiro,3.0,Finalizado
047.965.231-70,Ana Sophia Garcia,SAC-7986,Solicitação,WhatsApp,13.0,5,PROTO-2025-04-6507,23/03/2025 17:38,6.3,Telefonia,Sim,Nenhum,3.9,Finalizado
689.240.715-30,Sra. Giovanna Macedo,SAC-9620,Dúvida,Chat,10.1,5,PROTO-2025-03-5498,17/04/2025 20:28,9.7,Telefonia,Não,Financeiro,4.0,Reaberto
527.603.918-68,Vinicius Duarte,SAC-4708,Solicitação,WhatsApp,3.2,2,PROTO-2025-04-8723,02/02/2025 05:36,6.9,TV por Assinatura,Sim,Comercial,0.7,Pendente
107.369.852-12,Danilo Cassiano,SAC-4150,Elogio,Chat,9.9,3,PROTO-2025-03-4655,20/01/2025 09:48,8.0,TV por Assinatura,Não,Comercial,3.0,Reaberto
586.032.941-51,Sr. Renan Lima,SAC-5126,Solicitação,Chat,9.8,3,PROTO-2025-01-8989,01/03/2025 04:39,0.9,Internet,Não,Técnico,2.4,Finalizado
902.485.761-94,Srta. Maitê Andrade,SAC-6656,Reclamação,WhatsApp,4.1,5,PROTO-2025-03-3431,10/04/2025 02:42,9.1,Telefonia,Sim,Nenhum,0.5,Reaberto
753.068.192-30,Lara Viana,SAC-5416,Reclamação,E-mail,5.4,4,PROTO-2025-02-7947,09/02/2025 20:25,3.2,Telefonia,Sim,Comercial,4.9,Finalizado
163.792.854-82,Dr. Noah Gonçalves,SAC-6361,Elogio,Telefone,12.8,5,PROTO-2025-03-2876,30/01/2025 05:18,9.2,Telefonia,Sim,Nenhum,2.0,Pendente
103.254.789-88,Maria Sophia Rezende,SAC-7562,Solicitação,Telefone,14.0,1,PROTO-2025-03-4682,19/03/2025 15:40,8.0,TV por Assinatura,Não,Nenhum,1.5,Pendente
451.782.039-41,Henrique da Rosa,SAC-9296,Dúvida,Telefone,9.6,3,PROTO-2025-04-9554,23/03/2025 17:11,9.6,Internet,Não,Financeiro,0.8,Finalizado
248.375.916-55,Sra. Ayla Rezende,SAC-4616,Elogio,E-mail,11.9,4,PROTO-2025-01-4917,04/02/2025 20:21,2.3,Planos,Sim,Comercial,2.3,Reaberto
781.943.650-66,Dr. Ian Brito,SAC-9403,Elogio,Telefone,8.2,5,PROTO-2025-03-6434,02/02/2025 20:00,3.6,Planos,Sim,Nenhum,4.0,Reaberto
406.538.721-35,Gabriel Cavalcanti,SAC-5188,Solicitação,WhatsApp,7.3,3,PROTO-2025-02-8348,22/01/2025 09:55,8.8,Internet,Não,Comercial,3.7,Pendente
937.150.486-20,Lucas Gabriel Porto,SAC-2109,Elogio,Telefone,11.0,1,PROTO-2025-04-1367,23/01/2025 05:52,8.7,Internet,Não,Nenhum,4.6,Finalizado
762.859.410-76,Lorenzo Nogueira,SAC-6131,Elogio,E-mail,13.0,1,PROTO-2025-04-3815,01/03/2025 17:45,4.1,Telefonia,Sim,Técnico,2.9,Finalizado
628.019.543-06,Jade Nunes,SAC-1358,Reclamação,WhatsApp,7.8,1,PROTO-2025-03-9059,13/03/2025 07:25,7.6,TV por Assinatura,Sim,Financeiro,4.7,Pendente
058.723.614-08,Lorena das Neves,SAC-7181,Dúvida,WhatsApp,14.9,2,PROTO-2025-01-1154,12/03/2025 08:00,1.7,TV por Assinatura,Sim,Nenhum,2.0,Finalizado
762.438.510-44,Juan da Cunha,SAC-8900,Elogio,WhatsApp,14.9,2,PROTO-2025-03-4484,14/04/2025 08:06,8.1,Planos,Não,Técnico,2.8,Pendente
632.570.849-00,Liz Viana,SAC-4458,Dúvida,Chat,14.6,1,PROTO-2025-04-6525,24/03/2025 22:18,3.7,Planos,Sim,Financeiro,2.9,Reaberto
236.917.584-28,Otávio Azevedo,SAC-2534,Dúvida,Telefone,9.5,5,PROTO-2025-02-4921,08/03/2025 04:02,9.6,Planos,Não,Comercial,2.7,Reaberto
283.046.519-98,Esther Pinto,SAC-2003,Dúvida,Telefone,10.8,4,PROTO-2025-02-7511,07/03/2025 03:43,2.2,TV por Assinatura,Sim,Financeiro,1.1,Reaberto
983.572.461-09,Antônio Ramos,SAC-7064,Reclamação,WhatsApp,8.0,3,PROTO-2025-01-9814,07/02/2025 11:37,9.9,TV por Assinatura,Sim,Comercial,1.0,Finalizado
468.350.297-65,Dr. Luiz Fernando Camargo,SAC-9515,Reclamação,Telefone,4.8,5,PROTO-2025-03-2929,13/02/2025 22:20,9.2,TV por Assinatura,Não,Nenhum,2.7,Pendente
021.359.768-30,Antônio Teixeira,SAC-3356,Reclamação,Telefone,6.6,2,PROTO-2025-02-5621,14/03/2025 13:20,6.2,Internet,Sim,Comercial,2.5,Pendente
364.150.872-07,Yan Vargas,SAC-5369,Reclamação,Telefone,9.9,5,PROTO-2025-03-5790,18/03/2025 14:40,3.1,Internet,Não,Comercial,4.8,Pendente
128.539.704-50,Ana Liz Cavalcanti,SAC-2860,Solicitação,WhatsApp,14.5,5,PROTO-2025-03-7848,11/04/2025 22:36,5.1,TV por Assinatura,Não,Nenhum,1.6,Pendente
384.279.510-60,Amanda Azevedo,SAC-5584,Reclamação,Chat,7.2,1,PROTO-2025-02-7201,09/02/2025 01:12,8.3,Planos,Sim,Financeiro,2.1,Reaberto
658.324.170-62,Gustavo Henrique Moura,SAC-9024,Dúvida,E-mail,12.3,1,PROTO-2025-01-6315,03/03/2025 13:04,2.9,Telefonia,Não,Técnico,1.0,Reaberto
215.846.037-71,Luigi Vasconcelos,SAC-6551,Reclamação,Chat,10.7,3,PROTO-2025-02-2071,31/03/2025 07:41,7.2,Planos,Sim,Técnico,2.4,Reaberto
214.905.678-01,Carolina Pimenta,SAC-1591,Solicitação,E-mail,10.7,1,PROTO-2025-02-5244,05/02/2025 00:28,4.4,Telefonia,Sim,Nenhum,1.6,Reaberto
639.045.782-00,Dr. Enzo Gabriel Silveira,SAC-5191,Solicitação,WhatsApp,10.4,2,PROTO-2025-01-1484,06/04/2025 22:17,2.9,Internet,Não,Técnico,3.0,Pendente
253.714.089-32,Henrique Pires,SAC-7300,Elogio,Telefone,3.1,3,PROTO-2025-02-4030,04/03/2025 02:41,1.8,TV por Assinatura,Não,Nenhum,0.5,Finalizado
956.418.073-20,Melissa das Neves,SAC-6339,Solicitação,WhatsApp,4.1,2,PROTO-2025-03-5130,18/03/2025 23:26,1.3,Planos,Sim,Comercial,3.2,Pendente
730.654.921-99,Olívia Sá,SAC-8978,Reclamação,Telefone,10.9,4,PROTO-2025-03-8386,08/04/2025 10:03,6.8,Telefonia,Não,Nenhum,3.1,Reaberto
270.619.534-70,Eloá Oliveira,SAC-7292,Elogio,E-mail,6.6,2,PROTO-2025-01-3532,17/04/2025 14:56,8.2,Planos,Sim,Técnico,2.3,Finalizado
639.507.281-12,Danilo Pimenta,SAC-4191,Reclamação,Telefone,5.3,5,PROTO-2025-02-6452,16/01/2025 21:46,8.6,Internet,Não,Financeiro,0.8,Reaberto
956.724.083-38,Allana Borges,SAC-6564,Solicitação,Chat,4.8,1,PROTO-2025-02-1354,15/02/2025 14:37,5.9,Telefonia,Sim,Financeiro,3.5,Reaberto
130.489.567-00,Maria Fernanda da Cunha,SAC-9255,Reclamação,WhatsApp,8.9,1,PROTO-2025-01-5643,09/01/2025 23:36,1.5,Telefonia,Não,Financeiro,1.7,Reaberto
876.421.905-49,José Vasconcelos,SAC-4753,Elogio,WhatsApp,10.0,2,PROTO-2025-04-4208,28/02/2025 00:28,5.3,TV por Assinatura,Sim,Nenhum,0.9,Reaberto
745.382.601-26,Ana Luiza Sales,SAC-6830,Reclamação,E-mail,10.1,5,PROTO-2025-02-6279,15/01/2025 05:53,6.5,Internet,Não,Nenhum,2.3,Finalizado
085.463.219-06,Kamilly Aparecida,SAC-4897,Dúvida,Chat,13.9,4,PROTO-2025-01-3820,27/03/2025 15:50,9.8,Internet,Não,Financeiro,4.6,Reaberto
951.648.370-48,Brenda Teixeira,SAC-7722,Reclamação,Chat,13.1,1,PROTO-2025-01-3825,11/03/2025 09:32,2.6,Planos,Não,Comercial,3.4,Reaberto
501.946.328-06,Vitória Garcia,SAC-6589,Elogio,Chat,10.2,3,PROTO-2025-01-8394,27/02/2025 15:39,9.9,Internet,Sim,Nenhum,3.8,Pendente
047.139.826-87,Sr. Lorenzo Leão,SAC-1093,Reclamação,WhatsApp,9.9,4,PROTO-2025-03-1484,11/01/2025 07:25,9.2,TV por Assinatura,Sim,Comercial,3.9,Finalizado
486.253.907-65,Helena Aparecida,SAC-4341,Solicitação,Chat,10.0,5,PROTO-2025-01-6061,10/04/2025 18:11,5.9,Internet,Não,Nenhum,4.3,Finalizado
583.410.672-26,Sr. Antônio Andrade,SAC-9786,Reclamação,E-mail,10.2,2,PROTO-2025-02-3995,28/01/2025 09:25,4.5,Internet,Sim,Técnico,0.8,Reaberto
564.872.913-82,Gabrielly Fonseca,SAC-6716,Reclamação,E-mail,13.9,1,PROTO-2025-01-5513,12/02/2025 17:30,5.1,Planos,Não,Comercial,1.1,Pendente
429.538.701-05,Srta. Alana da Mota,SAC-1990,Elogio,Telefone,13.7,3,PROTO-2025-02-3004,20/02/2025 06:07,10.0,Internet,Sim,Financeiro,2.5,Finalizado
261.874.953-73,Manuella Garcia,SAC-1842,Solicitação,Chat,14.9,5,PROTO-2025-01-3349,11/02/2025 12:24,1.7,TV por Assinatura,Sim,Técnico,2.4,Reaberto
563.812.970-77,Sra. Zoe Dias,SAC-9211,Elogio,Telefone,8.6,2,PROTO-2025-04-7411,11/04/2025 02:06,9.2,Internet,Sim,Comercial,1.0,Reaberto
870.192.563-68,Sra. Emilly Fernandes,SAC-4630,Reclamação,Chat,6.0,4,PROTO-2025-02-9475,18/02/2025 01:11,7.3,Planos,Não,Nenhum,2.7,Finalizado
635.470.821-53,Letícia Leão,SAC-9668,Dúvida,Chat,3.3,5,PROTO-2025-03-5310,08/01/2025 19:01,1.7,Internet,Sim,Técnico,0.9,Pendente
798.465.120-58,Dr. Luiz Otávio das Neves,SAC-5318,Solicitação,Telefone,4.9,1,PROTO-2025-02-5623,25/02/2025 19:51,9.0,Telefonia,Não,Técnico,4.5,Pendente
814.072.396-78,Liz Ribeiro,SAC-5197,Solicitação,WhatsApp,5.6,4,PROTO-2025-01-4005,16/01/2025 01:34,10.0,Internet,Não,Financeiro,3.5,Finalizado
940.682.315-24,Levi Novaes,SAC-2366,Reclamação,WhatsApp,12.0,5,PROTO-2025-02-5294,12/04/2025 19:14,1.2,Telefonia,Sim,Técnico,0.7,Finalizado
248.593.610-24,Cecilia Moura,SAC-6649,Solicitação,E-mail,9.9,4,PROTO-2025-01-7666,15/02/2025 17:34,7.5,Internet,Sim,Técnico,5.0,Reaberto
417.820.569-20,Ian Pacheco,SAC-3779,Solicitação,Telefone,12.2,1,PROTO-2025-01-3466,09/02/2025 13:51,0.5,Telefonia,Não,Técnico,2.3,Finalizado
410.569.382-42,Luana Farias,SAC-4111,Elogio,E-mail,11.3,2,PROTO-2025-01-3107,18/03/2025 06:51,3.7,Planos,Sim,Financeiro,1.4,Pendente
802.371.569-03,Lunna Vasconcelos,SAC-2232,Solicitação,Chat,14.2,1,PROTO-2025-03-5789,08/02/2025 05:39,3.8,Internet,Sim,Comercial,2.9,Pendente
239.607.481-40,Valentim Sampaio,SAC-2369,Solicitação,WhatsApp,12.8,4,PROTO-2025-02-2602,17/01/2025 08:47,8.8,Telefonia,Não,Comercial,0.8,Finalizado
791.560.432-52,Dr. Davi Lucca Andrade,SAC-1827,Solicitação,E-mail,4.0,4,PROTO-2025-01-4826,29/03/2025 04:31,9.6,Planos,Sim,Técnico,0.7,Reaberto
658.072.934-10,Gael Henrique Moreira,SAC-4433,Reclamação,WhatsApp,11.3,2,PROTO-2025-04-1442,09/01/2025 22:40,7.2,Telefonia,Sim,Técnico,3.5,Reaberto
857.132.490-50,Maria Clara Azevedo,SAC-6523,Elogio,Chat,12.3,3,PROTO-2025-03-9909,10/01/2025 13:22,5.4,Planos,Sim,Comercial,2.7,Finalizado
961.453.027-80,Fernando Barros,SAC-6706,Elogio,WhatsApp,5.5,3,PROTO-2025-01-6404,20/01/2025 03:10,1.2,Internet,Não,Financeiro,4.5,Reaberto
109.342.578-41,Dra. Catarina Gonçalves,SAC-6363,Reclamação,Telefone,4.0,5,PROTO-2025-03-7755,23/02/2025 02:17,6.1,Telefonia,Sim,Nenhum,1.5,Finalizado
207.459.386-47,Miguel Cunha,SAC-2060,Dúvida,Telefone,6.1,4,PROTO-2025-02-4716,29/03/2025 15:52,5.4,Telefonia,Sim,Financeiro,1.6,Finalizado
942.185.603-15,João Vitor Brito,SAC-2892,Elogio,E-mail,12.0,1,PROTO-2025-04-4943,04/04/2025 11:04,3.2,Internet,Não,Nenhum,3.6,Reaberto
673.512.489-82,Ana Liz Andrade,SAC-2617,Dúvida,WhatsApp,10.2,5,PROTO-2025-02-2853,07/03/2025 19:23,8.3,Internet,Sim,Técnico,1.9,Finalizado
105.267.983-86,Stella Silva,SAC-9493,Dúvida,E-mail,7.4,5,PROTO-2025-04-7255,04/03/2025 10:14,2.6,Internet,Não,Técnico,1.0,Reaberto
420.957.618-20,Maria Laura Abreu,SAC-7895,Solicitação,Chat,12.3,2,PROTO-2025-04-6519,11/04/2025 15:09,7.8,Planos,Sim,Comercial,4.4,Pendente
208.946.513-15,Alícia Santos,SAC-1528,Elogio,E-mail,14.6,5,PROTO-2025-01-4415,27/03/2025 14:27,8.2,TV por Assinatura,Sim,Comercial,1.2,Pendente
156.704.823-44,Sarah Câmara,SAC-7137,Reclamação,Telefone,10.9,2,PROTO-2025-02-9266,04/02/2025 00:49,3.8,Internet,Sim,Comercial,2.3,Pendente
592.748.306-29,Letícia Sampaio,SAC-3369,Reclamação,Telefone,5.0,4,PROTO-2025-01-5085,31/01/2025 19:20,9.3,TV por Assinatura,Sim,Nenhum,3.5,Finalizado
154.790.286-85,Pedro Abreu,SAC-3468,Solicitação,Telefone,12.7,3,PROTO-2025-01-6786,24/02/2025 13:49,8.3,TV por Assinatura,Sim,Comercial,2.5,Pendente
041.983.256-42,Aylla Oliveira,SAC-3009,Solicitação,Chat,6.8,2,PROTO-2025-03-8660,19/03/2025 22:54,7.2,Planos,Não,Técnico,0.8,Pendente
603.879.524-38,Enzo Gabriel Pimenta,SAC-3221,Reclamação,E-mail,4.0,1,PROTO-2025-02-9230,03/01/2025 11:56,9.5,Telefonia,Sim,Comercial,2.9,Finalizado
519.460.382-70,Thales Melo,SAC-4275,Reclamação,Chat,13.1,3,PROTO-2025-03-6626,21/02/2025 10:36,9.8,Internet,Não,Técnico,1.7,Reaberto
360.198.742-22,João Cavalcanti,SAC-3156,Dúvida,E-mail,10.4,2,PROTO-2025-01-3765,24/03/2025 02:14,2.2,TV por Assinatura,Sim,Técnico,0.9,Pendente
584.902.136-15,Luara Melo,SAC-9097,Solicitação,Telefone,11.2,4,PROTO-2025-02-5433,27/03/2025 01:52,4.0,Internet,Sim,Técnico,1.1,Finalizado
639.472.018-69,Dr. Fernando Correia,SAC-3600,Solicitação,E-mail,14.1,5,PROTO-2025-03-9260,06/02/2025 13:59,5.2,Telefonia,Não,Nenhum,2.3,Pendente
216.784.305-44,Maria Júlia Sá,SAC-7885,Solicitação,Telefone,10.1,1,PROTO-2025-01-8875,11/04/2025 14:08,2.7,TV por Assinatura,Não,Financeiro,2.6,Pendente
971.368.054-57,Lara Farias,SAC-9982,Reclamação,E-mail,9.8,5,PROTO-2025-03-2389,16/02/2025 08:31,2.8,Internet,Sim,Nenhum,3.6,Reaberto
127.358.604-26,Nina Gonçalves,SAC-8133,Dúvida,WhatsApp,12.3,3,PROTO-2025-02-3633,24/02/2025 08:25,0.7,Telefonia,Sim,Financeiro,0.5,Pendente
021.763.584-90,Sr. Enzo Gabriel Martins,SAC-1131,Reclamação,WhatsApp,8.6,2,PROTO-2025-01-6600,11/01/2025 14:39,0.9,Telefonia,Sim,Técnico,1.1,Pendente
340.867.219-96,Mateus Pacheco,SAC-6162,Dúvida,E-mail,14.1,5,PROTO-2025-04-9398,01/01/2025 01:50,7.9,TV por Assinatura,Não,Financeiro,1.4,Finalizado
879.053.412-32,Maria Luiza Azevedo,SAC-2299,Solicitação,WhatsApp,13.1,3,PROTO-2025-03-8748,22/01/2025 01:00,5.8,Internet,Sim,Comercial,3.4,Finalizado
854.623.091-98,Sr. Anthony Borges,SAC-2100,Reclamação,WhatsApp,14.7,2,PROTO-2025-03-6581,24/02/2025 00:20,3.1,Planos,Sim,Comercial,4.8,Finalizado
530.426.871-71,Dra. Aylla Viana,SAC-9270,Reclamação,Chat,13.9,2,PROTO-2025-04-8257,04/03/2025 01:57,6.9,Planos,Sim,Financeiro,2.0,Reaberto
038.519.746-20,Maria Alice Pacheco,SAC-1649,Reclamação,WhatsApp,8.6,1,PROTO-2025-03-4016,02/02/2025 11:05,4.2,Internet,Sim,Nenhum,4.1,Reaberto
475.089.623-38,Sra. Bella Sampaio,SAC-3070,Reclamação,WhatsApp,7.1,1,PROTO-2025-02-4399,02/04/2025 12:32,7.2,Internet,Não,Técnico,4.4,Pendente
137.046.259-06,Maria Alice Viana,SAC-2150,Elogio,Chat,13.9,2,PROTO-2025-04-6140,02/01/2025 20:34,0.8,Telefonia,Sim,Comercial,4.7,Pendente
456.721.093-06,Sr. João das Neves,SAC-6165,Reclamação,Telefone,13.2,2,PROTO-2025-01-9086,12/02/2025 14:08,2.6,Planos,Não,Comercial,4.5,Reaberto
084.371.956-75,Ravy Leão,SAC-3266,Solicitação,Chat,8.2,4,PROTO-2025-03-7852,05/03/2025 20:29,2.6,Telefonia,Sim,Nenhum,2.5,Finalizado
710.623.549-07,José Pacheco,SAC-8584,Solicitação,Telefone,4.2,4,PROTO-2025-01-7782,16/04/2025 14:25,5.4,Telefonia,Não,Comercial,0.6,Reaberto
428.713.695-00,Helena Correia,SAC-1913,Elogio,Chat,7.7,1,PROTO-2025-01-4097,26/01/2025 15:23,2.3,Telefonia,Sim,Técnico,1.1,Pendente
647.850.129-94,Antonella Ramos,SAC-4513,Reclamação,Chat,5.2,5,PROTO-2025-04-7793,11/03/2025 12:52,4.3,TV por Assinatura,Não,Comercial,4.7,Finalizado
362.794.180-22,Laura Vargas,SAC-1371,Dúvida,Chat,12.4,2,PROTO-2025-03-3164,24/03/2025 12:57,3.2,Planos,Sim,Financeiro,0.7,Finalizado
401.579.236-06,Sr. Benicio Moura,SAC-2309,Reclamação,Telefone,11.4,2,PROTO-2025-01-5979,09/02/2025 16:13,0.5,Telefonia,Não,Comercial,5.0,Finalizado
249.135.867-00,Benjamin Rezende,SAC-8330,Solicitação,E-mail,8.0,4,PROTO-2025-04-1168,06/01/2025 18:07,7.9,Planos,Não,Financeiro,4.2,Reaberto
162.583.947-28,Felipe Aparecida,SAC-5381,Reclamação,Telefone,5.9,5,PROTO-2025-03-1154,12/04/2025 00:43,10.0,Planos,Sim,Financeiro,3.8,Reaberto
875.302.964-00,Lara Costa,SAC-1779,Elogio,Chat,14.1,4,PROTO-2025-01-4396,11/02/2025 14:58,6.9,TV por Assinatura,Não,Técnico,4.0,Pendente
315.607.849-20,Bruna Aparecida,SAC-2947,Elogio,Chat,5.8,1,PROTO-2025-02-6935,17/04/2025 04:21,4.4,Planos,Não,Comercial,2.3,Reaberto
136.479.280-03,Mirella Cavalcanti,SAC-6779,Dúvida,WhatsApp,12.8,2,PROTO-2025-01-6580,22/03/2025 05:16,2.8,Internet,Sim,Financeiro,2.0,Finalizado
205.319.748-04,Rafaela Fogaça,SAC-6001,Elogio,WhatsApp,13.5,5,PROTO-2025-02-1670,16/02/2025 18:19,0.9,Telefonia,Sim,Financeiro,4.1,Finalizado
207.986.154-94,Lorenzo Sá,SAC-2552,Solicitação,E-mail,14.2,4,PROTO-2025-03-3518,11/03/2025 06:07,1.7,TV por Assinatura,Sim,Nenhum,4.0,Pendente
578.923.064-47,João Lucas Cunha,SAC-3229,Reclamação,E-mail,9.5,3,PROTO-2025-03-7418,03/01/2025 14:56,6.2,Planos,Não,Financeiro,3.7,Reaberto
705.462.983-38,Davi Luiz Guerra,SAC-1420,Solicitação,WhatsApp,8.8,3,PROTO-2025-03-9804,08/01/2025 13:43,9.8,Planos,Sim,Nenhum,4.2,Pendente
563.247.981-19,Srta. Sophia Sá,SAC-4406,Dúvida,Chat,12.2,2,PROTO-2025-01-2371,12/01/2025 15:16,6.4,Telefonia,Sim,Financeiro,3.2,Finalizado
096.321.857-30,Maitê Almeida,SAC-8693,Elogio,E-mail,12.0,1,PROTO-2025-03-4022,17/03/2025 19:13,3.1,Telefonia,Sim,Comercial,2.1,Finalizado
834.917.206-13,Nicole Albuquerque,SAC-6684,Elogio,Chat,3.2,3,PROTO-2025-01-6661,26/03/2025 14:18,8.0,TV por Assinatura,Não,Financeiro,3.3,Pendente
961.024.837-31,Alana Cardoso,SAC-8549,Reclamação,Telefone,12.6,1,PROTO-2025-04-2434,23/03/2025 23:50,8.8,Internet,Não,Comercial,3.0,Reaberto
237.806.914-69,Pedro Miguel Montenegro,SAC-1539,Reclamação,E-mail,7.3,2,PROTO-2025-03-8187,02/02/2025 04:29,9.9,Telefonia,Não,Comercial,3.6,Reaberto
754.816.390-84,Thiago Barros,SAC-6242,Solicitação,E-mail,6.0,2,PROTO-2025-04-9480,08/04/2025 08:31,2.6,Planos,Sim,Nenhum,2.9,Finalizado
914.350.278-41,João Felipe Gonçalves,SAC-9070,Reclamação,E-mail,3.6,2,PROTO-2025-02-4631,11/02/2025 20:56,8.4,Telefonia,Sim,Nenhum,4.0,Pendente
406.297.183-69,Mariana Andrade,SAC-8380,Elogio,WhatsApp,14.8,5,PROTO-2025-03-9170,12/02/2025 19:10,3.5,Internet,Sim,Técnico,0.7,Pendente
546.708.931-57,Vinicius Costa,SAC-6592,Elogio,E-mail,5.0,5,PROTO-2025-04-7263,15/01/2025 17:10,7.6,Telefonia,Não,Nenhum,4.0,Pendente
830.965.142-24,Dr. Vicente da Rosa,SAC-7348,Reclamação,E-mail,6.9,1,PROTO-2025-02-9917,09/02/2025 20:43,6.1,Internet,Não,Financeiro,1.6,Pendente
351.497.208-79,Vinicius Gonçalves,SAC-8097,Reclamação,Chat,3.2,1,PROTO-2025-02-8891,04/01/2025 16:37,4.2,Internet,Não,Comercial,3.0,Finalizado
820.156.734-07,Eduardo da Mota,SAC-3503,Elogio,Chat,8.3,5,PROTO-2025-01-3023,17/03/2025 07:44,2.9,Telefonia,Sim,Financeiro,1.4,Reaberto
837.026.941-96,Julia Lima,SAC-6597,Elogio,Telefone,13.3,4,PROTO-2025-03-1423,14/04/2025 16:11,3.9,Internet,Sim,Comercial,4.8,Pendente
087.635.291-30,Oliver Vargas,SAC-4802,Solicitação,E-mail,13.6,1,PROTO-2025-03-4834,17/01/2025 09:57,7.7,Planos,Sim,Comercial,3.1,Pendente
674.903.582-56,Anthony Gabriel Santos,SAC-5006,Elogio,Chat,3.4,3,PROTO-2025-02-4659,25/02/2025 16:32,5.5,Internet,Não,Comercial,4.8,Finalizado
415.607.382-35,Cauã Fonseca,SAC-8495,Elogio,Chat,4.0,5,PROTO-2025-01-3539,23/01/2025 01:52,8.6,Planos,Não,Técnico,4.2,Reaberto
875.294.061-67,Alícia Duarte,SAC-6561,Elogio,Telefone,6.1,2,PROTO-2025-01-8775,22/02/2025 13:10,8.1,Telefonia,Sim,Comercial,1.1,Pendente
506.487.132-53,Maria Julia Camargo,SAC-3590,Dúvida,Chat,4.8,4,PROTO-2025-01-5970,05/01/2025 02:15,4.7,TV por Assinatura,Não,Nenhum,0.9,Reaberto
826.971.350-30,Esther da Luz,SAC-5079,Dúvida,Telefone,12.8,2,PROTO-2025-04-1646,22/03/2025 04:18,1.6,Telefonia,Não,Nenhum,2.1,Finalizado
